Row Labels,Sum of Freq,New Country Name
England,49%,United Kingdom
United Kingdom,42%,United Kingdom
Scotland,3%,United Kingdom 
Wales,1%,United Kingdom
Northern Ireland,1%,United Kingdom
Germany,0%,Germany
United States,0%,United States of America
China,0%,China
France,0%,France
Switzerland,0%,Switzerland
Ireland,0%,Ireland
Italy,0%,Italy
Netherlands,0%,Netherlands
Guernsey,0%,Guernsey 
Great Britain,0%,United Kingdom
Usa,0%,United States of America
Australia,0%,Australia
Spain,0%,Spain
Norway,0%,Norway
Ukraine,0%,Ukraine
Jersey,0%,Jersey 
Isle Of Man,0%,Isle of Man 
Poland,0%,Poland
India,0%,India
Canada,0%,Canada
Russia,0%,Russia
Hong Kong,0%,Hong Kong
United Arab Emirates,0%,United Arab Emirates
Sweden,0%,Sweden
Czech Republic,0%,Czech Republic
Austria,0%,Austria
Hungary,0%,Hungary
Cyprus,0%,Cyprus
China.,0%,China
Luxembourg,0%,Luxembourg
Belgium,0%,Belgium
Japan,0%,Japan
Singapore,0%,Singapore
Denmark,0%,Denmark
South Africa,0%,South Africa
Gibraltar,0%,Gibraltar
"Virgin Islands, British",0%,British Virgin Islands
Philippines,0%,Philippines
Israel,0%,Israel
Turkey,0%,Turkey
Channel Islands,0%,UK offshore - unspecified 
Greece,0%,Greece
Uk,0%,United Kingdom
Cape Verde,0%,Cape Verde
Malta,0%,Malta
New Zealand,0%,New Zealand
Portugal,0%,Portugal
Bermuda,0%,Bermuda
Latvia,0%,Latvia
Malaysia,0%,Malaysia
Cayman Islands,0%,Cayman Islands
Romania,0%,Romania
Monaco,0%,Monaco
Seychelles,0%,Seychelles
Slovakia,0%,Slovakia
Pakistan,0%,Pakistan
Finland,0%,Finland
Brazil,0%,Brazil
Bulgaria,0%,Bulgaria
Belize,0%,Belize
Thailand,0%,Thailand
Uzbekistan,0%,Uzbekistan
Saudi Arabia,0%,Saudi Arabia
Mauritius,0%,Mauritius
Russian Federation,0%,Russia
Nigeria,0%,Nigeria
Lithuania,0%,Lithuania
Taiwan,0%,Taiwan
Egypt,0%,Egypt
Liechtenstein,0%,Liechtenstein
Bahamas,0%,The Bahamas
British Virgin Islands,0%,British Virgin Islands
United Kingdom.,0%,United Kingdom
Belarus,0%,Belarus
Estonia,0%,Estonia
Panama,0%,Panama
Lebanon,0%,Lebanon
South Korea,0%,South Korea
Morocco,0%,Morocco
Slovenia,0%,Slovenia
Kazakhstan,0%,Kazakhstan
Qatar,0%,Qatar
Serbia,0%,Serbia
Azerbaijan,0%,Azerbaijan
Croatia,0%,Croatia
Mexico,0%,Mexico
Kuwait,0%,Kuwait
N Ireland,0%,United Kingdom
Armenia,0%,Armenia
Argentina,0%,Argentina
Moldova,0%,Moldova
Uae,0%,United Arab Emirates
Iran,0%,Iran
Bangladesh,0%,Bangladesh
Marshall Islands,0%,Marshall Islands
Iceland,0%,Iceland
Georgia,0%,Georgia
Sri Lanka,0%,Sri Lanka
Kenya,0%,Kenya
Cymru,0%,United Kingdom
Jordan,0%,Jordan
Bahrain,0%,Bahrain
Indonesia,0%,Indonesia
Turkmenistan,0%,Turkmenistan
Slovak Republic,0%,Slovakia
Zimbabwe,0%,Zimbabwe
Costa Rica,0%,Costa Rica
Uruguay,0%,Uruguay
Ecuador,0%,Ecuador
Barbados,0%,Barbados
Ghana,0%,Ghana
England & Wales,0%,United Kingdom
Andorra,0%,Andorra
Vietnam,0%,Vietnam
England.,0%,United Kingdom
Venezuela,0%,Venezuela
Curacao,0%,Curacao
Algeria,0%,Algeria
British Virgin Island,0%,British Virgin Islands
Republic Of Belarus,0%,Belarus
Madagascar,0%,Madagascar
Tunisia,0%,Tunisia
Oman,0%,Oman
Gibraltor,0%,Gibraltar
Iraq,0%,Iraq
Eng,0%,United Kingdom
British Isles,0%,United Kingdom
South Wales,0%,United Kingdom
Saint Vincent And The Grenadines,0%,Saint Vincent And The Grenadines
Colombia,0%,Colombia
Dominican Republic,0%,Dominican Republic
Lancashire,0%,United Kingdom
Ireland (Republic Of),0%,Republic of Ireland
Liberia,0%,Liberia
Chile,0%,Chile
Peru,0%,Peru
Dubai,0%,United Arab Emirates
N. Ireland,0%,United Kingdom
Dominica,0%,Dominica
Uk Offshore,0%,UK offshore - unspecified 
Jamaica,0%,Jamaica
Anguilla,0%,Anguilla
Saint Lucia,0%,Saint Lucia
United Kindom,0%,United Kingdom
England United Kingdom,0%,United Kingdom
United States Of America,0%,United States Of America
Republic Of Panama,0%,Panama
Kyrgyzstan,0%,Kyrgyzstan
Albania,0%,Albania
Samoa,0%,Samoa
Libya,0%,Libya
Hong Kong (Sar),0%,Hong Kong
