"company_number","data.country_of_residence","data.name","data.address.country","data.identification.country_registered","data.identification.registration_number","CompanyName","CountryOfOrigin","IncorporationDate","SICCode.SicText_1"
"00672039",NA,"Everton Garage (Holdings) Limited","England","England","00672039","EVERTON GARAGE LIMITED","United Kingdom","07/10/1960","45111 - Sale of new cars and light motor vehicles"
"00695699",NA,"Inlaks Holdings Limited","United Kingdom","England And Wales","00695699",NA,NA,NA,NA
"00706811",NA,"Pro-Car Services Limited","England","Uk","00706811","MARTIN (EAST BOLDRE) LIMITED","United Kingdom","30/10/1961","45200 - Maintenance and repair of motor vehicles"
"00910010",NA,"Acs International Schools Limited","England","England","00910010","ACS INTERNATIONAL SCHOOLS LIMITED","United Kingdom","05/07/1967","85310 - General secondary education"
"00924030",NA,"F.G. Fennell & Company Limited","United Kingdom","United Kingdom","00924030","F.G.FENNELL & COMPANY LIMITED","United Kingdom","01/12/1967","43220 - Plumbing, heat and air-conditioning installation"
"00954145",NA,"Gardline Holdings Limited","United Kingdom","England And Wales","00954145","GARDLINE SHIPPING LIMITED","United Kingdom","14/05/1969","70100 - Activities of head offices"
"00998395",NA,"Crimson Tide Plc","England","Uk","00998395","A.COHEN & CO.,(GREAT BRITAIN)LIMITED","United Kingdom","30/12/1970","62090 - Other information technology service activities"
"01082590",NA,"Pontypridd Markets Fairs & Town Hall Company Ltd","Wales","Uk","01082590","PROPMARKET LIMITED","United Kingdom","20/11/1972","41100 - Development of building projects"
"01112469",NA,"1a Autoheat Limited","England","Uk","01112469","AUTOHEAT GAS-CARE LIMITED","United Kingdom","08/05/1973","74990 - Non-trading company"
"01503727",NA,"Hsbc Equipment Finance (Uk) Limited","England","England","01503727","HSBC EQUIPMENT FINANCE (UK) LIMITED","United Kingdom","24/06/1980","64999 - Financial intermediation not elsewhere classified"
"01522490",NA,"Buchanan & Curwen Group Ltd","England","Cardiff","01522490","BUCHANAN & CURWEN (LEATHERHEAD) LIMITED","United Kingdom","15/10/1980","43210 - Electrical installation"
"01861899",NA,"North Essex Electrical Limited","United Kingdom","United Kingdom","01861899","NORTH ESSEX ELECTRICAL LIMITED","United Kingdom","07/11/1984","43210 - Electrical installation"
"01997178",NA,"Jauch Quartz U.K. (Components Division) Ltd","United Kingdom","United Kingdom","01997178","JAUCH QUARTZ U.K. (COMPONENTS DIVISION) LTD","United Kingdom","07/03/1986","26110 - Manufacture of electronic components"
"02017961",NA,"Bakkavor Finance (2) Limited","England","England","02017961","BAKKAVOR LIMITED","United Kingdom","08/05/1986","82990 - Other business support service activities n.e.c."
"02323018",NA,"Ms Amlin Underwriting Limited","England","England & Wales","02323018","MS AMLIN UNDERWRITING LIMITED","United Kingdom","29/11/1988","65120 - Non-life insurance"
