"data.identification.country_registered","company_number","data.country_of_residence","data.name","data.address.country","data.identification.registration_number","CompanyName","CountryOfOrigin","IncorporationDate","SICCode.SicText_1","tender_id","tender_year","bid_price","lot_status","buyer_name","buyer_mainActivities","buyer_buyerType","new_data.identification.country_registered","secret","age"
"Basel, Switzerland","02646013",NA,"Straumann Holding Ag","Switzerland","Che-101.673.828","STRAUMANN LIMITED","United Kingdom","16/09/1991","85320 - Technical and vocational secondary education","c7c5b9de-3a5b-44c9-a6d7-7004568aa31e",2009,NA,"AWARDED","Sheffield Teaching Hospitals NHS Foundation Trust","HEALTH","NATIONAL_AUTHORITY","Switzerland",1,29
"Basel, Switzerland","02646013",NA,"Straumann Holding Ag","Switzerland","Che-101.673.828","STRAUMANN LIMITED","United Kingdom","16/09/1991","85320 - Technical and vocational secondary education","4db7fc41-218c-450f-9889-9d44bc501f37",2015,NA,"AWARDED","University College of London Hospitals NHS Foundation Trust","","","Switzerland",1,29
"Basel, Switzerland","02646013",NA,"Straumann Holding Ag","Switzerland","Che-101.673.828","STRAUMANN LIMITED","United Kingdom","16/09/1991","85320 - Technical and vocational secondary education","86db223a-626c-4f0d-b6ce-3538a50f84d0",2009,NA,"AWARDED","Healthcare Purchasing Consortium (HPC)","HEALTH,GENERAL_PUBLIC_SERVICES,OTHER","PUBLIC_BODY","Switzerland",1,29
"Basel, Switzerland","02646013",NA,"Straumann Holding Ag","Switzerland","Che-101.673.828","STRAUMANN LIMITED","United Kingdom","16/09/1991","85320 - Technical and vocational secondary education","cac8ee9a-c4f9-4d73-b7f2-59ec4f38516d",2013,NA,"AWARDED","HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (“UHCW”)","OTHER,HEALTH","PUBLIC_BODY","Switzerland",1,29
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","34a3a8b9-048a-4bc9-b7ef-110b3b9c7ef4",2018,29795,"AWARDED","UK SHARED BUSINESS SERVICES LIMITED","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","09480f2a-1ae4-49df-b9c7-e75b64c073f2",2015,77563,"AWARDED","Bedfordshire Police","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","a3d02095-ce32-486d-ae83-a8ab617b70ee",2016,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","6d9ccc9e-505d-4530-956d-ed4154040762",2016,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","59301470-e9fa-4af4-83ff-f3fe5901799d",2015,60000,"AWARDED","Blackburn with Darwen","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","5253f32b-81e8-4a07-a831-8548cc1bd2f5",2019,100,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","a143046e-bc77-4b7c-a413-1f7964304160",2017,20332,"AWARDED","UK SHARED BUSINESS SERVICES LIMITED","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","f7f7da62-3474-4a1f-92a9-93df0336eb9d",2016,52980,"AWARDED","Halton Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","21a77aba-e191-43be-9a5b-6c1b0fad0557",2015,69779,"AWARDED","Blackburn with Darwen","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","1306b43e-1208-4512-9202-82330599d88f",2019,11130,"AWARDED","Hull & East Yorkshire Hospitals Nhs Trust","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","bdc025d0-ed58-4da1-9601-4a3c01b7a670",2017,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","2954f9d7-243e-447d-ae6a-349514315f40",2015,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","ede3ba16-f6b4-470b-9707-fed5c4a8b241",2019,67104,"AWARDED","City of London Corporation","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","d2f7f199-046e-4acb-93e8-bec0a6a64fde",2018,28873,"AWARDED","Bradford Metropolitan District Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","0d8f9fd7-87f7-4728-bc84-78fbc8a28274",2017,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","877ed5ad-5aa3-48b5-b740-b0fd1b9748cd",2016,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","225cf013-b8fe-4d89-b570-90ecdf10f6c5",2019,60000,"AWARDED","BCH Procurement (Representing The Police and Crime Commissioners for Bedfordshire, Cambridgeshire and Hertfordshire )","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","587b9207-ac0b-401a-b56c-746f946632e6",2011,NA,"AWARDED","Kent County Council on behalf of the Pro5 Group","GENERAL_PUBLIC_SERVICES","REGIONAL_AUTHORITY","Belize",1,22
